,seq,type,pred_feature,high_value,trial,color_0,shape_0,payoff_0,color_1,shape_1,payoff_1
0,0,train,color,red,0,red,oval,51.752255979032284,green,circle,41.88112943278243
1,0,train,color,red,1,green,oval,41.75879594972566,red,circle,51.88895967714474
2,0,train,color,red,2,red,oval,52.39225150653636,green,circle,39.90014817802749
3,0,train,color,red,3,red,oval,54.11270669337015,green,circle,39.690941035862394
4,0,train,color,red,4,green,circle,37.657609659274925,red,oval,50.71577134152597
5,0,train,color,red,5,green,oval,41.74285755589638,red,circle,49.11797774387341
6,0,train,color,red,6,green,oval,40.57823879737997,red,circle,51.1564411291927
7,0,train,color,red,7,red,circle,45.648136728536024,green,oval,38.722244303513314
8,0,train,color,red,8,red,oval,39.58565114192098,green,circle,39.33022994002845
9,0,train,color,red,9,red,oval,46.25637463875781,green,circle,39.075296414670866
10,0,train,color,red,10,green,oval,40.28485147214113,red,circle,51.45242677033884
11,0,train,color,red,11,green,circle,41.33077021794557,red,oval,47.50757257745288
12,0,train,color,red,12,green,oval,37.354600775291196,red,circle,43.01376586199259
13,0,train,color,red,13,red,circle,46.109187229803055,green,oval,42.59845659557213
14,0,train,color,red,14,red,circle,43.331911599950615,green,oval,39.58912488426474
15,0,train,color,red,15,green,circle,40.14425901542774,red,oval,45.35253645468099
16,0,train,color,red,16,green,circle,43.20355778264183,red,oval,46.80322186263488
17,0,train,color,red,17,green,oval,40.43999336794353,red,circle,54.79593787620218
18,0,train,color,red,18,green,circle,38.7204969345005,red,oval,43.36712029297237
19,0,train,color,red,19,red,circle,37.339768596343454,green,oval,40.53542292468767
20,0,train,color,red,20,red,circle,47.20682581480656,green,oval,37.928692494348375
21,0,train,color,red,21,red,oval,43.89306660387807,green,circle,41.67697840747269
22,0,train,color,red,22,green,circle,40.769901932211724,red,oval,47.21681051170955
23,0,train,color,red,23,red,circle,48.799958067867195,green,oval,39.76272334778024
24,0,train,color,red,24,red,circle,53.53144355029944,green,oval,40.857512876923224
25,0,train,color,red,25,red,oval,56.25463966115625,green,circle,43.4473314415666
26,0,train,color,red,26,green,oval,42.922888584484404,red,circle,42.46477158978256
27,0,train,color,red,27,red,circle,47.18278550737744,green,oval,40.67514909759787
28,0,train,color,red,28,red,oval,47.75640799034941,green,circle,38.31353945941426
29,0,train,color,red,29,red,oval,45.57915283333211,green,circle,39.344653811276075
0,1,train,color,red,0,green,circle,40.52549845029428,red,oval,50.400717016958055
1,1,train,color,red,1,green,oval,40.353024842744894,red,circle,49.479969948435496
2,1,train,color,red,2,green,oval,40.878173357859154,red,circle,56.71967263083896
3,1,train,color,red,3,red,circle,46.517145232326456,green,oval,40.13309163171841
4,1,train,color,red,4,red,circle,44.505347857106266,green,oval,37.9725652671192
5,1,train,color,red,5,red,circle,50.95453161396677,green,oval,36.83681120109212
6,1,train,color,red,6,green,circle,41.693167971686805,red,oval,45.14528169239103
7,1,train,color,red,7,red,oval,49.16439010068584,green,circle,40.46880178539739
8,1,train,color,red,8,green,oval,39.704942639519295,red,circle,47.237387337738205
9,1,train,color,red,9,green,circle,37.88292783604318,red,oval,47.37495484840211
10,1,train,color,red,10,red,circle,43.888749913548395,green,oval,40.40461238366239
11,1,train,color,red,11,red,oval,54.547753424302634,green,circle,36.79548091788215
12,1,train,color,red,12,green,circle,40.10870717078076,red,oval,45.64111983180832
13,1,train,color,red,13,red,oval,49.14605687057534,green,circle,41.06012941120294
14,1,train,color,red,14,red,circle,46.6708060404231,green,oval,39.764915665343736
15,1,train,color,red,15,red,circle,52.64148495784242,green,oval,38.78999857438254
16,1,train,color,red,16,green,circle,38.69143344662489,red,oval,50.13945220347458
17,1,train,color,red,17,green,circle,42.13444483314397,red,oval,46.342559139513725
18,1,train,color,red,18,red,oval,57.7550628006315,green,circle,44.153961058107505
19,1,train,color,red,19,green,oval,42.152480314932774,red,circle,43.77169483616326
20,1,train,color,red,20,green,oval,39.41361682670247,red,circle,57.68615581214758
21,1,train,color,red,21,green,circle,42.127703065468715,red,oval,42.29030886928798
22,1,train,color,red,22,red,oval,38.04594002438001,green,circle,37.00987833954559
23,1,train,color,red,23,red,oval,33.177355810791745,green,circle,38.913008984134734
24,1,train,color,red,24,red,circle,45.20213856975255,green,oval,40.930160419000615
25,1,train,color,red,25,red,oval,48.497387365078694,green,circle,39.8277986963579
26,1,train,color,red,26,green,oval,42.910091152541426,red,circle,48.657429084027264
27,1,train,color,red,27,red,oval,40.171204639097425,green,circle,41.27494180530224
28,1,train,color,red,28,green,oval,41.4136992817981,red,circle,51.31332985192742
29,1,train,color,red,29,red,circle,44.23236209821311,green,oval,37.93547465884433
0,2,train,color,red,0,green,circle,39.11869515686052,red,oval,48.16053836985467
1,2,train,color,red,1,green,oval,39.17672335556758,red,circle,54.81321319901671
2,2,train,color,red,2,green,oval,37.011188760361385,red,circle,51.49598365847444
3,2,train,color,red,3,green,oval,41.23051353393712,red,circle,39.34664197246391
4,2,train,color,red,4,red,circle,47.165360349457174,green,oval,41.63355173440158
5,2,train,color,red,5,green,oval,39.59779069096234,red,circle,53.56482945830132
6,2,train,color,red,6,green,oval,38.04808236777019,red,circle,43.44712558039276
7,2,train,color,red,7,red,oval,53.64009428674651,green,circle,35.43852430925615
8,2,train,color,red,8,red,circle,38.70082296727186,green,oval,40.1980696420144
9,2,train,color,red,9,red,oval,58.24377825431643,green,circle,43.57033680414426
10,2,train,color,red,10,green,oval,41.27381256674442,red,circle,49.70395704001053
11,2,train,color,red,11,green,circle,42.70125024190531,red,oval,48.060265903009125
12,2,train,color,red,12,red,circle,47.244740611965355,green,oval,38.507803486694975
13,2,train,color,red,13,red,oval,49.89640017182582,green,circle,42.57466222321013
14,2,train,color,red,14,red,circle,45.48021129294695,green,oval,38.74386783254925
15,2,train,color,red,15,red,circle,34.63582783448531,green,oval,40.79186774886165
16,2,train,color,red,16,green,circle,41.702571149689575,red,oval,44.46367735024268
17,2,train,color,red,17,red,oval,40.78850432220295,green,circle,39.883177512282636
18,2,train,color,red,18,red,oval,38.20704279801485,green,circle,39.975361414141375
19,2,train,color,red,19,red,oval,49.44458333584353,green,circle,42.48989475729289
20,2,train,color,red,20,red,oval,48.19290561490458,green,circle,39.376507338355104
21,2,train,color,red,21,red,circle,43.688410202622286,green,oval,40.957751077040925
22,2,train,color,red,22,green,oval,40.20510636745254,red,circle,47.262787550409165
23,2,train,color,red,23,red,oval,49.985166500077455,green,circle,41.11116417730025
24,2,train,color,red,24,red,circle,47.16921079025134,green,oval,43.7643497604081
25,2,train,color,red,25,red,circle,46.83865335037883,green,oval,40.15142657591367
26,2,train,color,red,26,green,oval,39.031939736854646,red,circle,59.21460156201493
27,2,train,color,red,27,green,circle,37.995312038618394,red,oval,47.45136274152855
28,2,train,color,red,28,green,circle,42.20935843080506,red,oval,45.93831563897635
29,2,train,color,red,29,green,circle,40.74877290341253,red,oval,51.159907418806974
0,3,train,color,red,0,green,oval,40.29968482797456,red,circle,50.05585959007981
1,3,train,color,red,1,green,oval,40.86518890345231,red,circle,48.3095824183998
2,3,train,color,red,2,red,circle,41.009451701005744,green,oval,36.912749594955834
3,3,train,color,red,3,red,circle,47.66460785224361,green,oval,43.15837100596326
4,3,train,color,red,4,red,oval,51.50361578429793,green,circle,37.28837205774689
5,3,train,color,red,5,red,circle,46.684632877718236,green,oval,38.62829464764671
6,3,train,color,red,6,red,circle,48.018981258107296,green,oval,43.43759000609972
7,3,train,color,red,7,green,oval,39.23150817423886,red,circle,53.09521846620881
8,3,train,color,red,8,green,circle,42.94590714437915,red,oval,35.74563935729957
9,3,train,color,red,9,red,oval,40.463371761134766,green,circle,38.029683935378344
10,3,train,color,red,10,red,circle,48.743135476514155,green,oval,40.73241919556787
11,3,train,color,red,11,red,oval,41.109953615760666,green,circle,36.37876264003921
12,3,train,color,red,12,red,circle,50.830938792874164,green,oval,38.900894757739835
13,3,train,color,red,13,green,circle,40.17301108384292,red,oval,49.63504934394658
14,3,train,color,red,14,red,oval,45.34511747722143,green,circle,42.08974562490886
15,3,train,color,red,15,red,circle,44.857576349316055,green,oval,41.548989407730744
16,3,train,color,red,16,green,oval,39.10568468534011,red,circle,47.75220581224209
17,3,train,color,red,17,red,oval,55.246724006181516,green,circle,39.250110620301726
18,3,train,color,red,18,green,oval,43.2401406182721,red,circle,49.81849075171481
19,3,train,color,red,19,green,circle,35.741604221599964,red,oval,49.2882021046058
20,3,train,color,red,20,red,circle,44.69291553846592,green,oval,37.68507073553316
21,3,train,color,red,21,red,oval,46.74448705981544,green,circle,35.03858298003092
22,3,train,color,red,22,green,circle,38.47898230385727,red,oval,45.19622917956127
23,3,train,color,red,23,red,circle,50.34276389253101,green,oval,41.31577602086636
24,3,train,color,red,24,red,circle,49.634217351940116,green,oval,38.53542923719585
25,3,train,color,red,25,green,oval,41.83262288214913,red,circle,39.33395448395508
26,3,train,color,red,26,green,circle,42.65726213369887,red,oval,54.228174800859364
27,3,train,color,red,27,red,oval,49.82267244516631,green,circle,41.1121505476463
28,3,train,color,red,28,red,circle,33.66472523108628,green,oval,39.365122890324635
29,3,train,color,red,29,green,circle,42.95478726834007,red,oval,45.28721089944087
0,4,train,color,red,0,red,circle,48.45371281876086,green,oval,43.570636788449455
1,4,train,color,red,1,red,circle,41.19870816855337,green,oval,37.145727195627515
2,4,train,color,red,2,red,circle,47.186005016836965,green,oval,44.19199750045088
3,4,train,color,red,3,red,oval,56.52926340272282,green,circle,40.899956682693094
4,4,train,color,red,4,red,circle,49.64971769328632,green,oval,41.55521906055707
5,4,train,color,red,5,green,oval,37.25399396622892,red,circle,49.64183986415769
6,4,train,color,red,6,green,oval,40.420582582172294,red,circle,44.425617190512455
7,4,train,color,red,7,red,circle,47.05807936367808,green,oval,39.1510745804362
8,4,train,color,red,8,green,oval,41.234563160984514,red,circle,50.77680114254288
9,4,train,color,red,9,green,circle,36.6253046111733,red,oval,43.34867656364975
10,4,train,color,red,10,green,circle,38.743257783761045,red,oval,44.356947573702364
11,4,train,color,red,11,green,circle,39.708379083822365,red,oval,46.039801020646344
12,4,train,color,red,12,green,circle,37.706335835665115,red,oval,43.29889395537141
13,4,train,color,red,13,green,circle,40.32411911812575,red,oval,51.64857836891854
14,4,train,color,red,14,green,oval,39.56012840946733,red,circle,49.707543427684016
15,4,train,color,red,15,green,oval,42.057561839491015,red,circle,36.92906314478498
16,4,train,color,red,16,red,circle,46.08099537146127,green,oval,40.57643812618065
17,4,train,color,red,17,green,oval,36.44602672134785,red,circle,49.6200626209499
18,4,train,color,red,18,green,circle,42.169030321859935,red,oval,39.17389842348575
19,4,train,color,red,19,green,circle,39.592436277750906,red,oval,40.644423828075546
20,4,train,color,red,20,red,circle,45.69569341117544,green,oval,41.29678802247742
21,4,train,color,red,21,green,circle,39.76166232534416,red,oval,53.84769073646942
22,4,train,color,red,22,red,oval,49.94237100425771,green,circle,36.48036858460907
23,4,train,color,red,23,red,oval,53.956948201457074,green,circle,38.6075758968402
24,4,train,color,red,24,red,oval,46.86290293678058,green,circle,36.76989821883043
25,4,train,color,red,25,red,circle,44.369924511495114,green,oval,39.43879910632387
26,4,train,color,red,26,red,oval,44.802483045562624,green,circle,41.280427318657516
27,4,train,color,red,27,green,circle,38.93037732356289,red,oval,40.1373587499878
28,4,train,color,red,28,green,oval,40.4072663574196,red,circle,42.36023488247166
29,4,train,color,red,29,red,circle,36.373143125628566,green,oval,40.473652233576054
0,5,train,color,red,0,red,oval,56.53045879063819,green,circle,42.23900136160583
1,5,train,color,red,1,red,oval,43.08292010670485,green,circle,41.37552226319974
2,5,train,color,red,2,green,oval,42.031030432965856,red,circle,39.70832217208877
3,5,train,color,red,3,green,oval,39.39847083030653,red,circle,38.739190722993996
4,5,train,color,red,4,green,circle,39.70385519090449,red,oval,45.18264287287465
5,5,train,color,red,5,green,circle,40.88490920993942,red,oval,46.477866185716664
6,5,train,color,red,6,red,circle,38.13083065070518,green,oval,40.54760769064704
7,5,train,color,red,7,red,circle,46.69585770797708,green,oval,35.78462122477119
8,5,train,color,red,8,red,circle,46.867727077279305,green,oval,41.49454410228691
9,5,train,color,red,9,red,oval,51.36057157548218,green,circle,40.95025613469602
10,5,train,color,red,10,green,oval,38.87638691294882,red,circle,44.91903630004653
11,5,train,color,red,11,green,oval,43.61782908416554,red,circle,55.126644717351525
12,5,train,color,red,12,green,oval,42.84421269984711,red,circle,45.71595009630668
13,5,train,color,red,13,green,oval,40.906037512624344,red,circle,45.75014809067675
14,5,train,color,red,14,green,circle,37.678176087226525,red,oval,48.16185050363515
15,5,train,color,red,15,red,circle,50.54910353888059,green,oval,41.10371754306259
16,5,train,color,red,16,red,circle,32.76183717323623,green,oval,38.76790194888775
17,5,train,color,red,17,red,oval,43.991905796157745,green,circle,37.45076319596899
18,5,train,color,red,18,red,oval,49.08636579114312,green,circle,43.150165655217464
19,5,train,color,red,19,green,oval,37.27951312481565,red,circle,49.95362513044448
20,5,train,color,red,20,green,oval,42.245356509127475,red,circle,47.52902712324583
21,5,train,color,red,21,green,circle,40.029360279779425,red,oval,44.050068230661985
22,5,train,color,red,22,green,circle,42.61649321375982,red,oval,45.53265895423062
23,5,train,color,red,23,green,circle,41.32088513309687,red,oval,50.48961467134689
24,5,train,color,red,24,green,oval,42.3178991647538,red,circle,62.28719211569933
