Subject,Block,Trial,Running_Trial,Selected,Warning,Covered,Action,Outcome,Cum_Outcome
1,1,1,1,5,0,0,0,0,0
1,1,2,2,1,0,0,0,0,0
1,1,3,3,5,1,1,1,-6,-6
1,1,4,4,1,0,0,1,2,-4
1,1,5,5,1,1,1,0,0,-4
1,1,6,6,1,0,0,0,0,-4
1,1,7,7,1,1,1,0,0,-4
1,1,8,8,1,1,1,1,-1,-5
1,1,9,9,1,0,0,0,0,-5
1,1,10,10,1,1,0,0,0,-5
1,1,11,11,1,0,0,0,0,-5
1,1,12,12,1,1,0,0,0,-5
1,1,13,13,1,1,1,0,0,-5
1,1,14,14,1,0,0,1,2,-3
1,1,15,15,6,1,0,1,5,2
1,1,16,16,6,0,0,0,0,2
1,1,17,17,6,1,1,1,-5,-3
1,1,18,18,1,0,0,0,0,-3
1,1,19,19,6,1,0,1,5,2
1,1,20,20,6,1,1,1,-5,-3
1,1,21,21,2,1,0,0,0,-3
1,1,22,22,6,0,0,1,5,2
1,1,23,23,6,1,1,1,-5,-3
1,1,24,24,4,1,1,0,0,-3
1,1,25,25,1,1,1,0,0,-3
1,2,1,26,6,0,0,0,0,-3
1,2,2,27,6,0,0,0,0,-3
1,2,3,28,6,0,0,1,2,-1
1,2,4,29,6,1,1,0,0,-1
1,2,5,30,6,0,0,1,2,1
1,2,6,31,6,1,0,1,2,3
1,2,7,32,6,0,0,1,2,5
1,2,8,33,6,0,0,1,2,7
1,2,9,34,6,0,0,1,2,9
1,2,10,35,6,0,0,1,2,11
1,2,11,36,6,0,0,1,2,13
1,2,12,37,6,0,0,1,2,15
1,2,13,38,6,0,0,1,2,17
1,2,14,39,6,0,0,1,2,19
1,2,15,40,6,0,0,1,2,21
1,2,16,41,6,0,0,1,2,23
1,2,17,42,6,0,0,1,2,25
1,2,18,43,6,1,0,1,2,27
1,2,19,44,5,1,0,1,5,32
1,2,20,45,5,1,0,1,5,37
1,2,21,46,5,0,0,1,5,42
1,2,22,47,5,1,0,1,5,47
1,2,23,48,5,1,0,1,5,52
1,2,24,49,5,0,0,1,5,57
1,2,25,50,5,1,1,1,-7,50
1,3,1,51,4,0,0,1,5,55
1,3,2,52,4,1,0,0,0,55
1,3,3,53,4,1,1,1,-8,47
1,3,4,54,2,1,1,0,0,47
1,3,5,55,6,0,0,1,2,49
1,3,6,56,6,1,1,1,-2,47
1,3,7,57,3,0,0,1,6,53
1,3,8,58,3,1,1,0,0,53
1,3,9,59,3,1,0,1,6,59
1,3,10,60,3,1,1,1,-6,53
1,3,11,61,6,0,0,1,2,55
1,3,12,62,3,1,1,1,-6,49
1,3,13,63,6,0,0,1,2,51
1,3,14,64,6,1,1,0,0,51
1,3,15,65,6,0,0,1,2,53
1,3,16,66,1,1,1,0,0,53
1,3,17,67,6,0,0,1,2,55
1,3,18,68,4,1,0,0,0,55
1,3,19,69,6,0,0,1,2,57
1,3,20,70,5,1,1,0,0,57
1,3,21,71,6,0,0,1,2,59
1,3,22,72,6,0,0,1,2,61
1,3,23,73,6,1,1,1,-2,59
1,3,24,74,6,1,0,0,0,59
1,3,25,75,6,1,0,1,2,61
1,4,1,76,3,0,0,1,7,68
1,4,2,77,3,1,0,0,0,68
1,4,3,78,3,1,1,0,0,68
1,4,4,79,3,0,0,1,7,75
1,4,5,80,3,1,1,1,-7,68
1,4,6,81,3,1,0,1,7,75
1,4,7,82,6,0,0,1,3,78
1,4,8,83,3,1,0,1,7,85
1,4,9,84,6,1,1,1,-4,81
1,4,10,85,3,1,1,1,-7,74
1,4,11,86,5,1,0,1,5,79
1,4,12,87,5,1,0,0,0,79
1,4,13,88,5,1,0,1,5,84
1,4,14,89,5,0,0,1,5,89
1,4,15,90,5,0,0,1,5,94
1,4,16,91,5,1,0,0,0,94
1,4,17,92,5,1,0,1,5,99
1,4,18,93,5,1,0,0,0,99
1,4,19,94,5,1,0,1,5,104
1,4,20,95,5,1,1,1,-9,95
1,4,21,96,3,1,1,0,0,95
1,4,22,97,5,1,0,1,5,100
1,4,23,98,4,1,0,1,5,105
1,4,24,99,4,1,0,1,5,110
1,4,25,100,4,1,1,0,0,110
2,1,1,1,5,0,0,1,2,2
2,1,2,2,4,1,1,1,-10,-8
2,1,3,3,2,1,1,0,0,-8
2,1,4,4,5,1,0,0,0,-8
2,1,5,5,5,0,0,1,2,-6
2,1,6,6,1,0,0,1,2,-4
2,1,7,7,1,1,1,1,-1,-5
2,1,8,8,5,0,0,1,2,-3
2,1,9,9,5,0,0,1,2,-1
2,1,10,10,5,0,0,1,2,1
2,1,11,11,5,0,0,1,2,3
2,1,12,12,5,0,0,1,2,5
2,1,13,13,5,0,0,1,2,7
2,1,14,14,5,1,0,1,2,9
2,1,15,15,5,0,0,1,2,11
2,1,16,16,5,0,0,1,2,13
2,1,17,17,5,1,0,1,2,15
2,1,18,18,5,0,0,1,2,17
2,1,19,19,5,0,0,1,2,19
2,1,20,20,5,0,0,0,0,19
2,1,21,21,5,0,0,1,2,21
2,1,22,22,5,0,0,1,2,23
2,1,23,23,5,1,0,1,2,25
2,1,24,24,5,0,0,1,2,27
2,1,25,25,5,1,0,1,2,29
2,2,1,26,3,1,0,1,7,36
2,2,2,27,3,1,1,1,-6,30
2,2,3,28,3,1,1,1,-6,24
2,2,4,29,2,0,0,1,8,32
2,2,5,30,2,0,0,1,8,40
2,2,6,31,2,1,1,1,-5,35
2,2,7,32,4,0,0,1,8,43
2,2,8,33,4,1,1,0,0,43
2,2,9,34,4,0,0,1,8,51
2,2,10,35,4,1,1,1,-9,42
2,2,11,36,2,1,0,0,0,42
2,2,12,37,4,0,0,1,8,50
2,2,13,38,4,1,0,0,0,50
2,2,14,39,4,0,0,1,8,58
2,2,15,40,2,1,0,0,0,58
2,2,16,41,4,1,0,0,0,58
2,2,17,42,2,1,1,1,-5,53
2,2,18,43,4,1,1,1,-9,44
2,2,19,44,6,0,0,1,2,46
2,2,20,45,6,0,0,1,2,48
2,2,21,46,6,0,0,1,2,50
2,2,22,47,6,0,0,1,2,52
2,2,23,48,4,1,1,0,0,52
2,2,24,49,6,1,1,0,0,52
2,2,25,50,6,1,0,0,0,52
2,3,1,51,6,1,0,0,0,52
2,3,2,52,3,1,1,0,0,52
2,3,3,53,2,1,1,0,0,52
2,3,4,54,5,1,1,0,0,52
2,3,5,55,6,0,0,1,2,54
2,3,6,56,6,1,1,0,0,54
2,3,7,57,6,1,1,0,0,54
2,3,8,58,6,0,0,1,2,56
2,3,9,59,6,0,0,1,2,58
